MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
6613072    1654801    4121801    0    0
6453647    140774    4593433    0    0
5409720    2402872    5193065    0    0
761868    4560986    389875    0    0
9044303    3806528    4696140    0    0
7205550    100207048    4015518    0    0
8483761    1930218    4378312    0    0
7266357    2361227    4117713    0    0
8700926    91465    4556642    0    0
1026554    1808094    4589856    0    0
637189    114459    312463    0    0
167601    73581    133621    0    0
6054829    47831334    3004037    0    0
8870827    1840286    4933489    0    0
6125855    61096313    3415375    0    0
869940    3966208    393197    0    0
6335867    111392347    5991978    0    0
5028530    64257475    2686720    0    0
7890261    2903631    5139413    0    0
716135    2422545    280015    0    0
7127370    226619    5394134    0    0
6504744    924614    3230401    0    0
7822811    265708    5014223    0    0
6391307    2932756    3649402    0    0
450426    3342049    188807    0    0
5167772    42035315    2952684    0    0
865596    3667542    3715574    0    0
418491    1980549    5572977    0    0
3742145    2883447    3802440    0    0
5062510    82778    4493281    0    0
8636288    2741395    4067637    0    0
6169544    406227    4442695    0    0
657629    2837969    386555    0    0
8913238    295089    5339460    0    0
9079305    1470082    5919420    0    0
7299059    5567868    3142512    0    0
7086237    710515    4581425    0    0
3972851    29418513    2157092    0    0
5022143    1079440    3589107    0    0
652518    34491    455536    0    0
7949789    3256460    3917410    0    0
6590078    479552    3441179    0    0
5514214    46158650    3117219    0    0
5184890    68497312    2778185    0    0
6679499    6288346    4530072    0    0
6479451    791760    3385482    0    0
5150399    1019145    3242153    0    0
7749486    97342    4767421    0    0
10204734    2228374    7594149    0    0
6931411    131687100    4845600    0    0
6915827    2634345    3592428    0    0
1454498    4755668    910307    0    0
8320759    1210761    6069392    0    0
1022466    508934    638467    0    0
6497847    3535965    4192060    0    0
1113931    91976    631313    0    0
4115669    28361811    2278194    0    0
4076068    1077652    3043638    0    0
5935005    2287902    3912556    0    0
500247    2783294    249868    0    0
123401    575871    69238    0    0
6126877    903919    4062528    0    0
3022688    3066121    2083511    0    0
9369540    515065    7067586    0    0
4479996    74339574    3852004    0    0
4903852    824718    2621315    0    0
6701726    16962667    3890838    0    0
6344554    53141    3976172    0    0
5070175    2398273    3322121    0    0
6089575    28246841    3547207    0    0
7129415    5147077    3574544    0    0
440718    102962    270818    0    0
173477    725588    156103    0    0
5752330    65405    3257994    0    0
10112246    1261093    5099045    0    0
5329240    33486405    2809355    0    0
6217575    16157622    3927630    0    0
282570    1812437    167856    0    0
5105433    45647928    3414608    0    0
8519018    246368099    5172370    0    0
413381    62850    259832    0    0
449916    96830    803257    0    0
5961320    1659144    3515526    0    0
7241319    2421778    5215548    0    0
205668    919760    4649896    0    0
887568    4751836    5591883    0    0
339800    1145868    6915570    0    0
5106710    3622575    3073275    0    0
52886    67704    4911517    0    0
8215242    266326628    4338200    0    0
5542574    55739479    3173937    0    0
5349169    30244253    3017067    0    0
401117    752159    5811348    0    0
3699478    86952801    2575327    0    0
55186    342610    3988691    0    0
6295500    2730664    3216860    0    0
524008    1737069    269030    0    0
7607690    1836709    4688986    0    0
1236566    419001    737086    0    0
6676178    695696    2859430    0    0
6513431    98619    3497897    0    0
1749843    1374274    827273    0    0
7142189    2732197    3570456    0    0
8534859    960127    4971045    0    0
6407659    2991773    3755430    0    0
6745160    2770265    591712    0    0
7529765    1691847    4166000    0    0
6906885    73365906    4438607    0    0
9577253    2144317    5142989    0    0
6249256    3024477    4335389    0    0
5157808    2587080    2864285    0    0
142819    329581    45733    0    0
5047437    44197518    3829266    0    0
374036    842346    192639    0    0
8659792    3750064    5594949    0    0
6740050    128766    4235493    0    0
9508527    1398546    5043860    0    0
7394867    8773485    4137897    0    0
9064231    30435358    4016028    0    0
7203507    5762805    3959565    0    0
5041816    42432856    3317267    0    0
6886956    1905436    3962886    0    0
4594199    3193354    3210472    0    0
298666    68216    146906    0    0
6127132    482107    3355845    0    0
6945973    4991229    3882919    0    0
10071880    1657100    5135069    0    0
7307490    4536970    3623086    0    0
6723698    319106    5935005    0    0
7836352    83800    5209161    0    0
5467460    12849043    3012724    0    0
8763777    2644309    3856348    0    0
7517502    1596294    4829761    0    0
5266901    13517146    2825962    0    0
253956    140774    5681304    0    0
6948017    33596265    3487677    0    0
3384460    5038494    3826711    0    0
5492754    95156801    3877553    0    0
5109265    49854806    2917937    0    0
8457957    971879    5217592    0    0
937388    3231933    6577559    0    0
5456730    57740    3342815    0    0
5719116    1310913    2778696    0    0
6355284    4025481    4145561    0    0
9398155    800702    5910478    0    0
6545112    4781217    5066599    0    0
5990446    56721323    3346392    0    0
3461362    154315    2045188    0    0
6787826    3011702    3602392    0    0
3970551    32129505    2496126    0    0
4440651    46243    2825195    0    0
8221374    1836964    5164450    0    0
1229156    428710    536015    0    0
4257465    71536    3202297    0    0
4824906    7682548    2605474    0    0
6819762    1148677    4201257    0    0
6412002    107561    4048987    0    0
6826916    2056174    4000188    0    0
5090614    67705    3344860    0    0
7649335    2030369    4003765    0    0
1041372    1262115    5342015    0    0
6604385    2589123    4370391    0    0
8266084    1108821    4872426    0    0
6510365    70821238    3593195    0    0
6773775    54853444    2705881    0    0
105006    547513    3733202    0    0
7971250    106028    4942431    0    0
669892    2082233    942243    0    0
7248217    412870    3815726    0    0
6885423    57795397    4431197    0    0
74858    129533    17629    0    0
6332801    3231422    3051813    0    0
4894144    29061850    2833371    0    0
374802    1426905    183441    0    0
4354806    3813682    3188756    0    0
8673589    2616460    5671340    0    0
6081655    1328542    4128188    0    0
5371907    47866081    3354568    0    0
6976888    83545    3545673    0    0
6334845    775409    5505017    0    0
10186339    515831    6749503    0    0
33469    82012    3627685    0    0
196982    838770    82012    0    0
7543818    281038    4537226    0    0
6193049    66427    3306025    0    0
7871099    691352    5079629    0    0
4062016    121613    3318288    0    0
4683365    1665021    3226057    0    0
355129    71026    237094    0    0
6609751    4079645    4853266    0    0
420535    84822    273118    0    0
5908434    1006371    3134848    0    0
8517997    921548    4549489    0    0
5059445    78735514    4002487    0    0
324471    1063600    201836    0    0
5004515    93400826    3101123    0    0
5650645    2503279    4673146    0    0
8584168    2593467    5483555    0    0
147161    434331    50076    0    0
5744665    77158    3541841    0    0
6451859    5663420    4376267    0    0
7190732    11664852    3282520    0    0
6358349    52539737    3285586    0    0
6540002    4197426    4707381    0    0
173221    275162    4701250    0    0
6834069    46513012    3563558    0    0
305564    835704    118546    0    0
8815129    2234761    6420945    0    0
7211682    9273477    3604436    0    0
6684864    1690059    5077329    0    0
5556370    1166051    3347414    0    0
510723    1311935    902641    0    0
4676978    94768714    3682616    0    0
8427042    102962    4069936    0    0
7282964    5665464    4090631    0    0
3753385    31510455    2357650    0    0
7376728    80033142    3551805    0    0
5905113    96570421    3437601    0    0
5324897    51774804    3774336    0    0
6606684    1085316    3372197    0    0
7241574    71493429    4951628    0    0
887313    96319    523497    0    0
4456491    2284070    2963415    0    0
5308801    2281515    3765394    0    0
4780707    53607425    3454720    0    0
8429342    258043    5267157    0    0
7965374    1053381    3948324    0    0
8524384    5337928    4384443    0    0
3338728    37981730    2466234    0    0
6350174    710004    4233960    0    0
3784300    34937070    2358672    0    0
4357106    27851344    2395207    0    0
1905691    6298310    847712    0    0
6851443    634123    3775869    0    0
6206078    3322632    794826    0    0
3893138    3478735    3334895    0    0
8078556    1582243    3524723    0    0
6113335    4552810    3656044    0    0
7857303    537804    4161913    0    0
2280493    2553355    1213061    0    0
6363204    97764065    4601609    0    0
7662364    7215260    4073258    0    0
13367173    2900053    5933983    0    0
9039959    16835945    4553832    0    0
5975883    64683120    3218648    0    0
6236992    4030591    3138425    0    0
7695578    205158    5724992    0    0
490283    2767710    219210    0    0
80990    123657    17629    0    0
388087    1079952    220231    0    0
5847116    82779    3292740    0    0
312974    2314473    166323    0    0
7463850    949651    3832332    0    0
4278927    56974    4412803    0    0
6205312    1748821    4982542    0    0
2074313    702083    632846    0    0
6456968    2357396    4657560    0    0
464990    2410537    240415    0    0
5680283    2587335    3079151    0    0
3939637    2448605    2476198    0    0
5129449    889868    2421011    0    0
4831549    8237470    3323653    0    0
8763265    74603    4894654    0    0
7010102    1909524    4879836    0    0
10282657    1878354    7992201    0    0
7769670    563609    5252338    0    0
4576315    448894    2892644    0    0
1015823    2157859    473420    0    0
5490455    53652    4037234    0    0
6083955    1323177    4138918    0    0
7937781    2926113    4836914    0    0
4470288    46736565    2746249    0    0
6763554    115265557    5280954    0    0
222275    731720    79201    0    0
870195    4642231    4861952    0    0
10704469    144096    5772769    0    0
2277683    420279    1412598    0    0
6176952    750626    4177498    0    0
6786293    1189044    4517553    0    0
4290934    3934528    3397234    0    0
6986852    13582040    3759262    0    0
35002    128000    19417    0    0
5097001    46755    4287102    0    0
8789070    2707670    6305208    0    0
6803922    608319    4629457    0    0
7801350    4234982    4658838    0    0
9930594    1159153    6427587    0    0
451193    1639471    5206351    0    0
5881863    1415408    6155492    0    0
4418423    63827233    2565108    0    0
656351    4424811    425899    0    0
519920    68982    422578    0    0
551855    3098057    307098    0    0
5015501    1886785    3190034    0    0
5324642    41900    3437346    0    0
5320044    49820    2884980    0    0
7558125    768255    4860419    0    0
901364    2026537    5772513    0    0
6957215    138220    3952412    0    0
6274805    2704094    4744171    0    0
5402822    5471548    3614656    0    0
4447549    60342366    2993051    0    0
4726032    2437363    3111343    0    0
5034918    601165    3208684    0    0
849500    4020883    442506    0    0
5650645    3452420    2858409    0    0
8008041    115481    4288890    0    0
5476402    55556293    3515526    0    0
7078828    653541    3081194    0    0
7471259    1173716    4593433    0    0
12505410    57485    2224286    0    0
8259953    29306609    4475909    0    0
7368553    1059256    5206606    0    0
7740544    576638    4859397    0    0
6639132    1475448    4926080    0    0
6430397    461924    3520635    0    0
6930644    283081    3290951    0    0
7344537    18169596    5117696    0    0
7373662    90149221    4315716    0    0
6713479    31937    4328746    0    0
7530533    61616998    4218631    0    0
883480    1043927    429732    0    0
5629184    2198481    4251844    0    0
517110    2166034    3812148    0    0
5677727    4604164    4348675    0    0
6809799    2220964    4975645    0    0
6696873    1747288    4339477    0    0
4637633    905963    3336428    0    0
9358299    677301    5054590    0    0
5373696    4054863    3095758    0    0
5007325    29019184    2587079    0    0
8782682    885524    4352763    0    0
11271399    401373    4684898    0    0
8780383    10549644    4964147    0    0
8067825    6206589    6620225    0    0
776431    5402821    411082    0    0
5095980    1328542    3913577    0    0
6464889    1053125    4557409    0    0
12271893    702595    6934988    0    0
6684098    1761085    5054591    0    0
7302125    2986920    3936827    0    0
427688    2843846    280782    0    0
6925024    2878592    3917154    0    0
7809526    1348725    5295261    0    0
8512376    3611334    4705593    0    0
548279    2887023    3232189    0    0
6320538    15845926    3263870    0    0
5592394    60807    3693346    0    0
8466388    625436    3747509    0    0
6023148    469589    2796069    0    0
4257465    1419496    3640204    0    0
5473336    867895    2882935    0    0
567952    124934    5150654    0    0
254978    1019145    114970    0    0
239904    792527    105772    0    0
5313656    75338791    4265385    0    0
5851970    512510    3241642    0    0
521197    1417707    339289    0    0
5010902    2853044    2473387    0    0
6494014    44124192    3664731    0    0
6538725    93683908    4798080    0    0
614195    59784    4019350    0    0
4903086    50184642    3417929    0    0
640765    3110832    4875749    0    0
5001704    89771864    2700516    0    0
8393318    78435    4721433    0    0
783584    4181329    396774    0    0
718434    4619749    455281    0    0
6589567    1462673    3434791    0    0
4918926    582770    2980277    0    0
6125599    60969080    3423038    0    0
7166972    339800    4586791    0    0
5142990    32454231    2487184    0    0
7776824    5535165    4141474    0    0
7096713    3214049    4191805    0    0
5691524    4777640    4347653    0    0
7845550    3913322    5794997    0    0
424622    1947336    254211    0    0
6618948    1749843    4408715    0    0
303521    1312446    617772    0    0
154060    444550    68216    0    0
5443700    59746821    4291446    0    0
46244    82012    5075029    0    0
6963091    87690397    4213777    0    0
6454413    49432227    3648125    0    0
7744887    4653984    6619459    0    0
4841002    1292518    3048237    0    0
7735179    5888506    6348130    0    0
815520    4578870    5405632    0    0
5985591    49942439    3084261    0    0
4769720    2591933    3412564    0    0
6499123    2338234    5107732    0    0
5549983    10831703    4150671    0    0
7533853    198259    4592411    0    0
5430926    35980743    2869650    0    0
6565040    5988401    3461873    0    0
433054    1662211    223297    0    0
645620    3744699    452216    0    0
4815452    5971795    2910528    0    0
5311356    61317    3687215    0    0
6175419    88910    4565585    0    0
5572977    38551471    3489977    0    0
4327214    1722761    2947319    0    0
7397933    253445    3768970    0    0
4771508    1266458    2725299    0    0
4893632    1906968    2796325    0    0
4931445    51788856    2917937    0    0
9127593    3386504    4459046    0    0
7244130    1777180    6141184    0    0
6396162    140008    4269218    0    0
7364975    1814737    4388531    0    0
6455691    92998    4627669    0    0
187273    764678    89677    0    0
6614350    85603053    3542608    0    0
7085982    47960611    3626664    0    0
948374    4561752    468822    0    0
6721144    42083604    3474648    0    0
640765    3195398    3122328    0    0
6325392    45916190    3908978    0    0
6913782    4046432    4280204    0    0
5921464    91976    4667525    0    0
90188    154827    23505    0    0
7119961    79252624    4769976    0    0
7649845    3298104    6325647    0    0
9743832    18270004    5309057    0    0
771576    1977739    400862    0    0
5099557    3903357    3041339    0    0
7855514    1707432    6386454    0    0
8946707    1468805    5881352    0    0
4993784    2555399    2458313    0    0
5995811    39535102    3578632    0    0
6628402    3336428    4806000    0    0
5401033    2458058    3096013    0    0
1172949    446850    773875    0    0
5112076    2073292    3694113    0    0
7054301    45260606    3076085    0    0
5524179    57701122    3273067    0    0
4964147    53807984    3349203    0    0
6327436    1994601    3467749    0    0
545979    2421012    339800    0    0
7351179    887057    4234216    0    0
624159    2414114    288703    0    0
528607    2391119    282315    0    0
6382110    799680    3869634    0    0
5403332    2749315    3610312    0    0
4144795    2244469    2978488    0    0
7855514    1699001    4197170    0    0
4390064    22567836    2248813    0    0
649197    3026775    971113    0    0
3559214    1518881    2505579    0    0
6693040    61608312    4249034    0    0
8213198    19647599    4740595    0    0
9859824    2459080    6709136    0    0
33214    102452    4465433    0    0
3399790    3004292    2672413    0    0
8067314    2248812    4221696    0    0
7616121    34436313    3831310    0    0
7691235    346953    4854798    0    0
5781456    72855951    4405904    0    0
10570338    4621026    7312856    0    0
9003169    68726    5261792    0    0
7055068    1145868    4138662    0    0
1370697    2500725    826251    0    0
6827427    3602648    4654495    0    0
4516531    134643    2949107    0    0
8490148    61109087    4244180    0    0
7393846    2722488    5490965    0    0
6485583    2510944    3608779    0    0
