MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
231472    1075352    132087    0    0
154060    99897    125189    0    0
14629289    173477    6510621    0    0
224320    753181    118291    0    0
17852534    1071265    9811792    0    0
22606925    5760761    11719782    0    0
265964    1320366    135664    0    0
14189337    11672006    6578326    0    0
1327775    6804433    723544    0    0
2607008    1374785    1202586    0    0
21467957    1540087    1817547    0    0
443018    2941697    230962    0    0
13928738    7591594    9007258    0    0
18049006    552622    10734617    0    0
542659    273117    250635    0    0
2057451    11856213    968303    0    0
14139261    218424524    12104292    0    0
6508322    61403410    4981009    0    0
15880672    5292450    9177924    0    0
27344710    7048680    16130796    0    0
1197987    3998144    542658    0    0
16765686    9421405    8687896    0    0
1129516    5191532    467033    0    0
318594    2582736    1204375    0    0
316550    1093747    807089    0    0
14464753    5896171    9955121    0    0
1451176    4997361    653285    0    0
2216110    11916508    13327062    0    0
18973620    2679311    10186594    0    0
20444724    3617977    12189881    0    0
111138    224830    29126    0    0
427688    197238    202347    0    0
263409    1444278    143330    0    0
2009930    1847695    932024    0    0
11219280    894211    7738245    0    0
10315616    171494809    6344808    0    0
25229008    7874931    12402703    0    0
14440483    6014717    7417095    0    0
9712151    2485650    5843539    0    0
990275    5191788    7703754    0    0
37813    121612    66939    0    0
1036518    7287307    662993    0    0
152271    291002    8034356    0    0
1345915    7283985    586858    0    0
1780757    632079    968559    0    0
4106727    1159664    1162985    0    0
312719    1595527    147161    0    0
1202586    651752    11482177    0    0
20144014    440462    12914448    0    0
26316    101173    1133349    0    0
666315    772087    412103    0    0
54419    248335    34746    0    0
1858936    108072    1175249    0    0
1461396    4887501    768510    0    0
18817005    4122056    11631383    0    0
1439935    2774353    808112    0    0
1279488    1706921    638722    0    0
927935    2214322    477253    0    0
2485395    2184940    1302992    0    0
18233980    52119    10936198    0    0
431520    2126944    254722    0    0
1895471    390132    916950    0    0
1740645    1768238    847457    0    0
728399    3857881    382722    0    0
22794455    6319004    18326978    0    0
2467000    206691    1302993    0    0
18216607    3023965    3674951    0    0
996662    1601404    495393    0    0
24048649    137453    12561106    0    0
17185709    9462028    9713684    0    0
394475    146651    248335    0    0
15013799    8391785    7285008    0    0
17887026    3339749    13701097    0    0
18416909    8252033    9581086    0    0
38834    87632    15841    0    0
788439    1519392    344654    0    0
92487    281038    32192    0    0
172710    677046    83544    0    0
63106    208734    28359    0    0
1004326    4715556    430498    0    0
1186746    4674167    726355    0    0
8997805    7533343    6078589    0    0
10899919    3238576    7157518    0    0
217677    1132582    123146    0    0
278994    1038562    146395    0    0
363049    1563080    766722    0    0
1626186    5261025    806322    0    0
2036756    513788    1007136    0    0
163768    472654    73581    0    0
10098961    4607741    10420877    0    0
10301052    4303453    7311834    0    0
9998298    8652639    6045121    0    0
24050693    8308751    10742026    0    0
882969    340566    471632    0    0
23638078    3533411    11460460    0    0
94019    182930    28104    0    0
19814433    2830049    11647734    0    0
2445539    908518    1746521    0    0
269286    1066410    125701    0    0
328048    88399    224830    0    0
940454    4738806    545469    0    0
1295839    206435    657628    0    0
2035735    8438794    958083    0    0
352064    3860180    1069731    0    0
5717584    9906323    3865800    0    0
17997141    4786327    9790586    0    0
349253    1167073    140263    0    0
1737069    5049991    839536    0    0
680367    1489500    372247    0    0
344399    1908501    194938    0    0
13448675    4887756    7098756    0    0
680367    4060739    328048    0    0
1607791    4719645    805811    0    0
154315    422323    93509    0    0
278227    1290218    134643    0    0
1983871    7371107    1070753    0    0
1071520    978777    717924    0    0
735297    2523463    423345    0    0
668358    4111836    465501    0    0
1314746    5905623    744239    0    0
1106777    1721228    538315    0    0
770043    4494559    433565    0    0
1878865    1888062    1173716    0    0
12598153    16531147    6688952    0    0
275417    1234011    156870    0    0
59273    181141    28615    0    0
1799152    9437501    881947    0    0
15046246    7067842    8455912    0    0
