New MrsP    Original MrsP    MSRP    FIFONP-JAVA    FIFOP-JAVA    FIFONP-C    FIFOP-C
237771    60912    58735    62438    869370    2084960    584363
45261    40773    43115    40765    604814    1692260    519408
52435    37730    36830    40562    307619    1700221    539556
42665    321499    31161    32828    286771    1657667    544471
55679    25184    21289    36004    273511    1688449    504662
42717    16439    14296    19677    185289    1697814    481724
22037    17065    19149    21730    240973    2255826    522186
66396    15630    13038    14583    174574    1695644    509102
25894    53651    13321    13384    179928    1608645    456933
27096    18461    12203    12964    104123    1597348    499030
19699    16281    12192    12833    95413    1660634    502145
27928    31912    12785    13821    100083    1628794    485469
13411    12374    12287    13086    123234    1592031    471124
12232    20973    11498    11933    94085    1676167    477451
42558    17720    15987    18441    103592    1616247    471451
13506    36659    13099    13087    96215    1628676    467374
13748    11746    43484    13358    96625    1597787    508144
12897    12005    11627    12226    92861    1629801    484309
15061    13438    14647    14707    123715    2182024    515199
13835    12264    11975    13634    55298    1629223    480273
13731    10587    10913    12189    44549    1621565    484513
12055    11043    11215    11889    44906    1640014    486107
12386    10897    11498    12038    44806    1625346    496527
16235    14644    14803    15772    68881    2233691    527460
11851    8970    9079    9535    31518    1088049    481437
11513    10308    10520    28885    43682    1627164    507476
15584    12353    13677    12927    45799    1638079    485035
11569    10467    11023    11629    44177    1649397    509511
13615    15633    62147    13716    47724    1621799    520363
13075    13397    12347    13445    45585    1585371    474436
15543    11087    12075    14377    50612    1692773    657867
23230    19348    19236    20495    76638    2114286    644014
20623    20721    22102    21526    76743    2061323    609895
21124    20890    19942    31833    71294    2136640    701810
27022    24463    24963    61142    111221    2773270    472970
12400    14185    31799    12334    58624    1623633    495845
18448    13391    13865    14419    56195    1648386    473646
16234    14651    14917    15819    61043    2123618    503335
17073    14831    14876    18794    59758    2182334    476617
13254    14583    21859    13023    46020    1630919    487159
16012    11185    11651    14151    45526    1607890    486872
15834    12894    22876    15135    49019    1624714    477163
16133    14712    14758    15902    59542    2116509    471635
22025    15674    15832    16921    60431    2159535    482363
13407    12209    12269    13025    46530    1612927    479735
16007    14565    14877    15652    60019    2119014    460484
15209    13300    14135    14826    77078    2266285    523545
16361    16145    15590    16107    60858    2133885    473598
12643    13291    12126    11900    45062    1596817    465058
16735    13470    14106    15114    58145    2129807    499840
12603    12776    11820    12383    44692    1580818    469066
11839    10422    10770    11459    44645    1609153    482852
15355    13669    14346    37678    59107    2138991    502129
12462    11280    14950    12288    46523    1601358    457609
8519    7926    24032    29273    43978    1048249    466894
14624    13341    6536    14326    60589    2110366    478188
11882    10342    5371    11516    43842    1606781    462310
14476    13273    6505    14361    77472    2344461    603470
17815    18592    7651    25789    64451    1742795    472877
16398    11021    5860    9018    45243    1591759    451584
14703    30280    7947    8455    51256    1601932    477131
17717    13664    6624    10835    54062    2101424    466257
11957    13345    5478    8761    40993    1633907    639777
27653    85859    11567    19764    84424    2213065    554299
14238    12646    6320    9978    43244    1607011    453450
11930    19831    5364    8738    41454    1706617    483477
13305    11378    5786    9202    42557    1592765    452793
11748    10712    5367    8521    62570    1589439    479975
16557    16619    6784    14315    55595    2121345    465792
37537    11550    5527    9582    44907    1631530    460428
12657    11680    5943    9009    42616    1582996    476090
16494    13939    6594    11454    75914    2142871    468225
12613    11239    5912    9766    44766    1603403    480872
23781    11653    7065    9265    42063    1606006    467661
9202    10739    5518    8636    41149    1586871    452749
8714    19356    5423    8387    54460    1570190    460895
8407    7987    4964    8416    40528    1588555    464695
10776    10390    6404    10719    73997    2115960    453273
10602    10549    6536    10650    53774    2109919    453110
10807    9866    14246    10559    53226    2145416    485972
8422    7746    5018    24981    40360    1677938    481397
10508    10140    6399    12771    52210    2158062    462511
22355    15406    5085    10086    40418    1570193    484839
10238    9791    6274    12815    52241    2150743    489276
8913    7907    4926    10281    41188    1596409    464414
8896    8485    5179    10467    41403    1598379    464220
8729    8434    5335    10742    41197    1596690    459888
8866    8669    5027    11282    56152    1635186    496277
12371    11174    7324    14175    55454    2120347    461773
8212    7687    5071    10108    40599    1641376    443442
9185    8563    6033    11086    53145    1601432    487677
14172    8452    5384    10425    53884    1595589    455437
10487    9836    6239    12874    91689    2133039    544167
11410    13590    6872    14002    54792    2099797    476325
25173    14089    7067    14356    55052    2131762    470693
11579    11168    7954    15573    61778    2172838    493775
15839    16124    8571    34453    46813    1659246    486674
11872    13355    7215    14595    55438    2112016    485832
10814    11481    6058    12156    43654    1597646    477704
9562    8581    5602    11025    41654    1589291    456612
8981    8456    5256    10770    41162    1617201    490715
9531    9391    5518    10956    41703    1644640    457246
12454    11075    7246    41813    55640    2135031    472715
9463    9257    5462    11343    88169    1591270    465425
11630    11435    6714    14228    55737    2124713    464386
18346    9213    5835    11352    42803    1619246    472440
9808    8938    6556    10571    41673    1573269    464144
8930    7941    5302    10566    41123    1622845    470438
9933    8962    5870    11177    41779    1577908    460862
8396    7871    5103    10385    40891    1594204    456069
10576    10051    6363    13144    54369    2106778    453673
8745    7782    5097    10352    58491    1578268    466148
10851    10375    6880    14181    55192    2114738    483945
11805    10778    6511    14035    54844    2121125    456509
9227    8412    5125    10707    41207    1585360    458167
8599    7904    4957    10514    40685    1577942    467665
8370    7751    5231    10130    44649    1592537    453448
8236    7705    5013    10224    47398    1720349    478913
8331    7634    4790    9924    38244    1621608    452687
8305    7630    4827    9962    61658    1607170    520909
60604    58261    45032    42917    272059    1653473    508031
28484    15939    17325    25052    255645    1612480    478898
19825    11027    16734    18306    256484    1607368    470051
11912    12305    16653    12856    242805    1608843    469349
12196    10744    18031    12878    115562    1591172    478607
12103    10852    16695    13309    89710    1593860    488355
14258    10962    40690    13470    95471    1599987    484947
16714    13743    21707    16680    122909    2129047    472939
18337    14129    28312    16933    126240    2132171    481585
15226    13686    13761    17032    115372    2124659    473608
11392    10377    14393    13299    87461    1604231    456305
12037    10508    12891    12858    95351    1589693    470677
11369    13036    10953    12633    86416    1601089    457617
11285    12428    11052    12677    96761    1623348    483663
14274    25513    13626    15430    91567    1621866    458437
20680    14039    13691    16666    116362    2170246    480103
13233    12251    12376    13780    88250    1619859    460823
16504    13786    13826    59945    116894    2223349    529916
16748    15104    14766    17421    127602    2129838    475732
16816    14429    14633    19473    115539    2114023    474163
12556    11487    10735    16111    89138    1629886    459621
15822    23622    14573    18582    116878    2204881    489915
13720    14695    12428    15813    88631    1612061    448954
21396    11366    11710    14386    57165    1547610    463889
18648    14474    14885    18103    54061    2121951    474095
40156    14824    16815    17539    53096    2096201    456832
25657    12481    13078    18934    56138    1578539    465330
12710    11538    11459    11950    44353    1554554    457203
14816    13986    14104    14832    51463    2081188    474349
12572    11848    11783    17771    40581    1587224    465221
15216    12231    11362    11769    39537    1544487    457945
14337    14379    13604    14423    51182    2077835    460718
15406    18616    16094    15601    52496    2065186    464534
12854    12320    11402    12094    39476    1579886    444530
11953    7376    7685    8165    26403    1043349    455114
14219    13414    13312    13927    54954    2073134    452337
11058    10725    10686    11349    38726    1550465    442584
13642    36363    13363    14216    58557    2061235    445215
18576    10342    10351    29390    39423    1544256    462855
11177    19811    10381    26821    38816    1545149    451108
27157    7848    12087    18610    39992    1554794    444836
10878    7822    10520    16964    47433    1542645    455789
10921    7530    26047    9027    38566    1545319    475663
21450    9965    14066    11514    51510    2065657    457156
10631    9787    39216    11836    51348    2128971    457881
8167    7806    7710    8924    38743    1589082    471419
8318    9392    7658    8761    38919    1577591    467914
8355    7837    7664    9016    38651    1592046    471999
10032    9231    11651    10888    49325    2180534    446286
10137    9609    9688    11531    62874    2145978    495134
8481    21934    7616    8918    39061    1613777    486227
8369    7515    7693    8676    37913    1635756    540652
10264    9405    9451    11184    50095    2160608    490399
10380    9638    9535    12187    50519    2169329    451902
8098    7488    7527    8539    37968    1695115    560051
8901    7781    8421    9020    38869    1723094    487678
9405    8373    8335    9127    38498    1641938    487083
7819    7300    7316    8374    42474    1652035    452932
8870    8276    8240    9210    39194    1624673    491108
10116    9420    9335    10887    49577    2169260    494317
44017    27256    10282    11663    60709    2139235    482057
8780    7993    8461    9382    40119    1599093    474967
9127    30859    8533    9216    39092    1607370    459820
8624    7836    7744    9118    46710    1597205    470121
10271    9847    9862    11426    51616    2122519    474865
8382    7709    7841    9835    90577    1638726    463763
9490    8618    8898    9883    48478    1610639    478400
9433    8564    8334    9560    40087    1626282    481604
9461    9167    8796    9704    153662    1561605    532423
9417    8702    8345    9620    53813    1622350    489918
11571    9757    9379    9970    50696    1557214    464735
10649    9854    14986    11546    57218    2068525    466193
10897    9869    9900    11699    57383    2064927    462963
10531    9931    9808    11446    56506    2090670    478627
8100    7061    6761    6780    30189    1044739    461012
8569    7760    7667    8779    46467    1545492    490215
10726    10107    9903    11651    70549    2085279    465198
37694    9019    9017    9281    44009    1574035    461882
8964    8348    8224    9067    43730    1551357    463572
8683    7761    36296    9283    43233    1651362    467866
9127    8717    8573    9316    43597    1612256    477082
10641    40217    10494    11749    56833    2121279    479476
10581    9674    9861    11831    56505    2123551    477810
8487    7784    7611    8865    42704    1605477    469437
10811    10092    9979    11443    58248    2121629    478339
10607    9869    9916    11449    62865    2143955    511653
10162    9388    9552    9661    45260    1643074    463056
9040    8510    8352    9318    46720    1650670    490478
12109    11766    11425    12745    60982    2160029    466001
9167    8456    8339    9395    45014    1601878    474492
61258    8126    7973    9023    42759    1580213    478186
11762    11169    11727    12635    58624    2107261    455307
9268    57511    8402    9156    52448    1549322    455008
8489    7748    7649    8761    42973    1550168    459180
11059    10319    10049    11744    60890    2063963    463889
11542    10724    10574    11962    58277    2060055    458893
9162    8942    8430    9467    43623    1557494    446737
16916    8671    8747    9259    43735    1586190    465771
9250    8314    8212    9267    43888    1549086    471714
9611    8598    12424    9742    44232    1602848    511924
12213    10109    16900    10245    46318    1574823    456402
9165    8734    8565    9164    43400    1553183    461284
9998    9195    8411    9905    43786    1615538    471640
9761    9585    8898    9796    44320    1544842    458642
11088    10198    10342    11713    59103    2261896    486992
10081    9463    9327    9784    48890    1560480    516989
12149    11414    10874    12145    57838    2088907    455655
8698    8867    8349    9330    43455    1579470    479939
12201    11054    11073    12516    57696    2078287    477447
34968    10527    9540    9614    44344    1565063    479020
11780    9563    8830    9383    44090    1647988    650297
75680    23646    22743    24013    123142    2773450    643927
17995    14953    14773    16095    74406    2084505    617006
17286    13757    23204    15019    80448    2085228    623105
19122    16163    57703    21459    77957    2176960    625111
17840    17977    14052    14910    73352    2096714    620689
22459    17703    17317    19324    96487    2787933    663915
17446    15103    14622    15577    80223    2126618    613756
21863    26176    17389    18597    131541    2419665    461640
14440    11637    10901    12396    58073    2092903    446152
11159    8883    8283    9075    43448    1566036    491922
13971    11038    10219    11793    56962    2066275    475273
10461    8704    8167    9175    43069    1545058    452334
10343    8668    8000    8899    71167    1549399    441818
10431    8441    7792    8726    45415    1546492    452585
10936    8461    7738    8864    51715    1536705    454454
10842    8643    7965    8917    39002    1535804    452573
13562    10841    9834    11365    51308    2067066    476089
13550    10814    9842    11604    51335    2047735    453630
13619    10783    9777    11400    51278    2073614    442802
13492    11171    13377    11438    51560    2116544    464507
12167    9394    8937    9633    40744    1542307    452678
13516    11231    10080    11839    51945    2073391    457253
11152    8865    8555    9253    39629    1548772    441419
10249    8612    7834    8909    39049    1552767    456866
10844    8929    8466    9248    40147    1541940    496811
11037    9029    8139    8981    39548    1545998    456945
10631    8712    7716    8876    39462    1561725    447070
10935    9182    8482    8845    47455    1544258    456407
13574    11093    10118    11427    51181    2086470    476128
11224    9029    8177    9409    40018    1552375    455428
10833    8556    7832    9046    38951    1603599    447905
11051    9440    16592    9500    52007    1573560    470433
13429    10986    22263    11967    50073    2147365    468542
13433    10912    22236    11152    53505    2165146    434186
92995    11303    18228    11678    51445    2060313    459750
10732    8501    7663    8806    38929    1536503    455351
13647    10942    12847    11396    69180    2059708    453518
11100    8546    8111    9095    39923    1543803    448692
12993    52902    9810    11490    51315    2076541    445406
21804    8649    8042    8885    39333    1615836    465443
10768    9832    8998    9391    40193    1564736    457806
12652    11727    10564    12023    52621    2105334    458152
15729    13154    12653    14034    57818    2119549    450428
10979    19667    6595    6816    27431    1033165    480494
9701    7702    7893    9210    39339    1558222    449901
10564    7936    8798    9327    39675    1561510    456932
12290    9533    9988    11556    51500    2066034    459897
10410    7807    8849    9144    39591    1539224    456989
9488    7531    8198    8757    39043    1580824    447203
9869    7525    32780    9364    46960    1616718    497591
13168    10017    10820    11941    64285    2099599    476140
9631    7445    7821    8928    51218    1584799    443435
9413    7398    7757    8688    76805    1573740    439006
12500    9680    9946    12453    63670    2080408    491169
9856    7561    7978    9093    39296    1578175    521718
12481    9546    10055    11556    51799    2075641    445457
9682    7458    7854    8823    47752    1545698    457248
9509    7382    7608    8708    39670    1542141    456699
9607    7343    7706    8859    38742    1543818    455137
9510    7257    7615    8805    39404    1555863    443156
9618    7248    7734    8768    38775    1603387    487398
9529    7408    7711    21073    38209    1572314    467971
9362    7369    7792    21007    38009    1568246    430512
9245    7360    7798    21318    65312    1580376    475649
6855    5249    5632    6126    38468    1041901    429215
12045    9785    22414    11144    50564    2127432    432770
9420    7353    7703    45313    62901    1542381    455965
12232    9438    9784    11250    51280    2070218    455765
9578    7243    7783    8662    38961    1543303    453338
9352    7286    7574    8584    38613    1554842    441481
13078    9516    9854    11618    51798    2068361    442650
9466    7128    7492    8562    38656    1546938    450590
9439    7332    53272    9126    39093    1547270    449746
9572    7517    7822    8761    38896    1544438    447238
9349    7297    7772    8661    39161    1548736    439728
12031    9337    9862    11076    60166    2054247    440423
9593    7489    7936    8862    39864    1541224    450090
9398    7289    7647    8718    39062    1581943    440224
9417    7410    7738    8668    50562    1570128    444030
9323    7538    7803    8815    51413    1564076    522486
10002    7677    45478    9344    39400    1544599    460849
12866    9605    10190    11507    52928    2055376    449467
9654    7374    7838    8919    39746    1550025    439479
11900    9384    9754    11522    59730    2092690    470087
11549    8716    9277    9865    42372    1555908    471898
10072    7838    8156    8988    39099    1562623    451986
10685    7658    8612    9540    50043    1562504    456222
10575    8038    8373    9171    39655    1696909    593421
30043    15870    20060    20022    87295    2819367    611384
15286    12745    14860    15216    69635    2077894    614575
16879    12155    15334    15528    69296    2094670    540533
10523    7786    9068    9579    40901    1547912    458319
10591    8058    22277    9434    39987    1595932    449057
11074    8130    7379    9516    46176    1616475    468155
14143    10288    8723    12572    53646    2075735    452487
10300    7551    6537    9074    39298    1593397    464298
16168    12502    10688    14873    67848    2602754    455409
10341    7916    6690    9111    103045    1589419    467947
13170    10417    8680    12369    52878    2142221    450594
11101    7835    7218    9399    40548    1565223    455808
10079    7690    6756    9331    39773    1578463    468346
10440    7771    7733    9454    40777    1563425    455423
12635    9722    8418    11767    52205    2113511    456267
10782    8683    21233    10255    51839    1583337    467790
19197    15293    10124    19243    84980    2322507    447072
10759    8326    5889    9766    59717    1549092    458598
9670    7617    5076    8996    39198    1570288    467946
10741    8350    6158    9795    41805    1571908    441573
9559    7357    5108    9013    47128    1553845    452860
