New MrsP    Original MrsP    MSRP    FIFONP-JAVA    FIFOP-JAVA    FIFONP-C    FIFOP-C
2889307    484945    664661    12704895    6990424    1734119315    1692525707
80986745    286888    314672    9009982    5058661    905656274    882259556
1118460    26119    30926    898634    436836    165925933    375512442
539945    12591    14969    361615    214252    209808409    489794609
1091226    66582    71711    13516627    8829041    2393188152    2591851859
5503099    680879    768490    12622426    6409503    1362250690    1054111398
184507    11248    8099    10345857    6933621    2992395438    4377992528
119758    10091    11351    380213    155972    374095780    702227594
1522786    18998    21891    15993978    8903901    4038685496    3607703014
3098244    17434    18858    475028    297455    151135830    313722842
93608    689909    867980    11217088    6299909    1339874483    1354645856
11708190    252862    297026    9195004    7024168    1168953349    1528306023
131104    4960    5943    71287    24241    172596132    272515056
1733864    94839    125791    12044389    7046978    2173889751    3278192514
2838438    25612    28186    814552    506295    263299857    586446830
1025844    9319    10367    667527    448595    263164542    558715762
3255105    713673    785756    10989786    9319275    3257450701    4862181380
1280485    24147    28670    688939    8641743    163254731    3351846342
2235653    177821    268118    9287305    6141071    1108212411    1265193421
311019    9858    11901    260183    177027    176398878    412764215
8732469    483000    463016    7813065    5687722    1108851804    1005597115
3277550    82845    90489    2752576    1675958    452803362    851070009
2576044    19919    22107    941673    754036    166169284    338897017
554341    155446    219612    13411109    5519888    1431857663    800919336
993293    267221    332811    12078728    8363041    2961196061    2959763340
901079    569508    627182    12038429    10108502    1704490586    1859214349
1589149    221520    262769    12113872    5520081    1734754679    867784136
3063469    37943    42166    1328076    6815481    179628929    1876741168
4427581    703744    784553    9132504    7114104    1269707962    1564442561
3645584    240636    276007    9186334    5885309    985580049    878975061
2992042    61507    111567    13576159    11407254    5952750857    9729541896
21644335    220762    253203    9413880    4816314    1120600354    972658977
145611    4795    5411    47975    25219    214483221    378222669
164015    21138    23679    747549    595323    220864561    303218354
4966597    33465    72687    1258578    795017    237535353    450851424
3688278    330008    430404    9815241    4642042    1068377455    764094799
6406112    199055    233050    15647173    8573418    3088580687    2765096055
89922    4197    4765    25200    19411    275406561    503578892
449960    110307    169852    11414674    6555175    3546669707    4034497325
1951918    197757    228354    8905853    5100953    1668358229    1509947112
2324976    303347    376328    11235819    7635149    4066276986    4519683652
490091    6588    8577    956342    498575    234664289    366321051
810338    11599    14092    235763    208885    198516251    496136423
2798823    131046    179595    6005071    4066505    1419888684    1301191943
555632    358697    475143    8772017    5738873    823313562    825076740
2601144    24052    27513    677895    8972936    181697568    5669656920
1668339    9677    10783    336843    213874    255510304    618919191
1268625    133352    151199    9295062    5424446    1594817968    2023903638
2239164    15207    17010    469282    314257    214557650    413743951
44541    14224    16901    439919    10870402    264649681    6172923722
148177    682900    696746    9081187    6963419    1886695508    2495819599
749855    49940    106924    1060664    752645    237597170    398631390
1917917    18460    21260    8646045    6045169    1478574286    1265248869
2923253    151339    202808    9271535    7339943    2127523420    3620475618
709872    123641    138814    14657084    8605376    2300421563    2005000269
1660004    88025    97316    12362600    6640947    1895510180    1659215216
2471696    69800    81806    2849918    1409579    614298343    715122657
210751    4791    5166    50227    29104    148222489    233153034
829018    6717    7595    107348    7327382    130502258    1666190355
2736737    431767    526170    11195560    7621718    2590365740    4618200026
4040284    24959    29877    10517875    8553479    2084037993    3224203362
