New MrsP    Original MrsP    MSRP    FIFONP-JAVA    FIFOP-JAVA    FIFONP-C    FIFOP-C
25378617    4674571    13303026    19463099    18122533    983152113    841231334
6841875    2420916    2450385    4202241    4341977    571027032    386658413
3805430    524483    622930    4740631    3936173    568765371    593136531
4629381    520355    536664    5442101    4246417    849759324    993089969
2542738    573569    756609    3275903    3367304    491274885    456717869
2536519    1023116    1208031    3409500    2883664    1037502293    902148778
2760039    1384863    642732    4071156    3389738    803008312    874330551
1698733    384343    3327156    3306338    2484780    501970171    552610233
2261091    224338    309679    3796483    2979044    500071259    414853666
2883077    277108    297127    4199274    3105898    1074331953    1235570916

