MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
1922504    2531866    265684    171007713    222478372
1273947    340292    306106    183086971    245935957
781277    2189351    315235    167222322    215927428
1791182    3837627    296817    141696028    161892836
3311953    2720990    1114111    389357500    480605174
97157    200369    24854    163243109    166877722
1721593    3667966    560961    119152937    142535307
530092    2198146    310403    139193948    221463824
1055615    821492    11532846    132538725    3662832480
121970    306728    51125    217501853    210485022
419715    1369629    171781    117534692    161428456
241901    531491    160852    187265498    213447999
391200    1314684    177277    166122918    274886116
1577487    1344380    176554    180957261    186761236
40933    77546    17388    151439951    183126424
52711    193726    29641    296795539    361457383
1389712    1221129    1725217    212427103    283377234
1032363    1282695    400991    235160578    288025357
1570750    4973231    650144    128356935    159090868
213711    207696    97531    138327207    166991650
580417    2119922    308332    127580369    132614130
829034    2392594    429370    146187214    189148188
1342642    6556700    668555    196205509    316410550
63542    272948    42363    172610017    194187090
141286    494983    669212    161418479    162338062
1233587    1028457    7665919    122187752    1823361990
438996    1756828    234195    201234483    353644501
478406    1969162    253345    138798825    183748208
647499    1932893    321706    240407229    307316705
2493090    124559    889459    271527465    368550931
615244    2022115    254147    191419745    179529672
366613    1814099    180300    182071971    234094909
1093979    4915997    497670    156692388    207504873
411407    2019702    243906    139852663    209152623
12114481    2011185    6172806    1123014090    972271422
1284254    2474413    605704    150433539    213465093
264606    1605843    151210    168339899    281744141
1279878    122082    560404    205837615    176918223
1028985    8024817    557991    148160182    215436887
276869    755562    219781    188352579    254905034
288021    1743855    167463    276152938    349747762
669042    2681962    336686    186225986    267881083
1152452    429184    724331    166837610    230646339
35929    35813    73910    224042123    270849882
53270    29160    61287    205854953    216968913
2496955    2503046    660623    336127674    183197450
233327    1223156    635065    148718679    163989074
332099    1879712    646178    154414265    260582318
963437    1493900    464281    133472257    150426657
1163185    1306924    3632076    173377803    222549047
749182    2938792    420863    151008340    237294054
14338151    1508936    7819273    1683230144    1600485678
163497    752996    107254    260140068    555844549
1148106    153662    537224    196382304    196521403
208029    612875    92388    145114040    203134376
906287    986621    521165    150619745    245589413
160512    670803    102272    265365661    532937583
687827    2425698    238758    138535717    176590601
478140    2460466    1080966    125876757    322582852
403789    589914    182432    153339317    235804718
2983419    2099665    1765950    507773072    561147068
28271    49181    12474    249498441    346982151
1050914    4271143    431688    158407061    177234525
208617    769719    120225    162747020    246059753
214610    612172    130461    182897188    210696543
807556    2756141    293075    169792619    213476593
518440    2879037    296630    313619959    451150660
214836    538915    85808    136631523    210276691
592448    153859    315035    144624870    259286738
321191    1528346    229347    164006331    208378972
20227672    1634585    1147181    2407321962    375176625
1222216    5506877    618360    147915643    167681942
515186    1600370    224358    96216061    124363724
154796    166913    102095    253317677    439036461
227955    1281782    130944    158067741    229031234
557382    2630800    411671    186504884    247969604
8726756    1938768    9509365    867904157    1493746759
763948    3565600    347265    172236943    189173423
624873    2932045    285593    166427362    207522547
185996    5583343    568988    138166663    114362235
380738    1092490    172096    292800906    268246125
235428    570388    166332    145232171    240053812
581465    862657    346516    149103211    239477972
1708195    5656924    820586    161563807    208601978
90642    260967    44377    146555991    185607599
263445    665741    81771    184901177    198505831
617955    923879    369086    187404387    207815446
769529    1869268    428423    113817607    164332126
443368    167215    232429    91514712    126144472
974343    35106491    8539990    119223172    1373052040
244890    1157370    144650    151321506    264863734
58793    148812    1047406    147628316    340943445
127230    578703    81779    174215434    253233718
46540    52594    14463    210258468    344241277
466486    836605    93634    225090352    241277227
953328    3095985    443998    87839510    115643897
540348    1718542    473093    199264632    281958064
176149    1861545    126982    196472123    324540518
323257    162147    137284    181279070    229138884
1557455    1691167    696264    197258385    282619091
1094210    5249446    670098    98700548    136592764
665758    2453402    286361    300842021    683138064
15440923    927447    3073667    1507366306    655144725
49246    106748    22882    115622435    155355253
56027    164336    25670    153908423    175039686
346478    1404225    170654    184471655    223258742
2129164    1490529    1034351    359964132    425685329
1192567    4912349    494086    195028478    247475368
1518701    3975585    662503    157041859    178015188
587922    3463097    402348    189211072    302181088
1583623    1444757    923797    275733612    339478258
265575    128294    142365    149118232    202821019
108620    2032533    1977951    219087342    516880110
196993    725319    78613    161606746    235524004
98426    338740    49756    162317987    269869782
1132298    3415037    505324    147421802    165222483
662030    2544433    315327    184930206    227741676
2843577    1806002    478314    419057197    237753745
295660    1320700    184231    142745684    235313894
1588940    3067687    791012    255544069    292420987
1073106    192675    504005    141405595    161313646
1040008    4518239    511519    179871113    232637030
854428    2933293    368381    175991515    276140794
648551    214413    343695    147824990    243064571
74115    33913    105470    234963106    273188474
650875    3385725    308581    177254870    314153613
993556    3119902    577584    152770886    174199829
102494    421426    62877    182343204    312457816
1535907    6257837    837747    163888983    256056573
1823248    2752748    902807    179469407    211332140
80514    215356    30988    126061957    163054806
110563    2933123    1168330    120683853    372527307
1124660    6293243    620374    147527357    198037665
2967281    682536    1033533    451173190    494361715
151330    244821    932274    159019913    329714769
545829    2471689    276608    182984332    240678877
350019    1194769    176222    217715175    187360594
112054    75608    563370    101778755    119499255
699864    3861265    402572    262311944    328373546
60980    174513    28277    200097100    219576333
518096    197342    375253    139427716    162401333
752493    4594451    429592    154908952    288476950
230234    197134    33421    234713615    323734363
2079962    4326365    837887    258211628    273068317
793361    150634    412436    144151872    170088751
1416144    5639200    637029    207793998    321669997
445909    2248002    185943    281790283    354584620
741174    4314900    303865    245512746    282069704
60793    133621    59969    169293931    211454959
53824    216804    54533    153476990    146959635
1680103    3548238    787630    139115709    154007474
452087    1777457    632788    190406397    266183349
369768    223446    132147    182124817    280777661
621285    2236758    264314    171438621    172143324
580215    932642    275588    130886109    186758342
217751    662148    97560    110081734    146153235
584446    1074930    339661    109227657    127642344
2013982    1699330    1052159    330172404    157422298
63415    85150    17666    152606126    121116886
466444    694256    104253    160739104    187478225
201389    840443    99220    219800049    397249652
917133    601990    527265    150439922    180063314
1185532    4205216    584883    219485031    291466178
72075    175010    27827    169675499    254972840
1285933    5958593    649851    106928388    151738014
757381    3536576    491259    114327934    209746529
1052186    4392461    461613    185317159    332511652
371164    213582    185535    200019070    220675030
979689    1449362    555890    198636941    187624160
685086    788743    761177    148801290    248693616
513731    1846630    234222    230551227    441496440
133175    337175    221064    157895330    231835107
360408    1884599    179693    174711839    203675216
499931    1738790    260003    142642193    197778127
937191    1398427    465195    184639744    238131582
1417761    6614855    654983    118913324    131967013
217177    971236    128557    157782402    240687934
661810    3130631    386902    148603788    191647640
779753    2795976    482293    117901007    175379640
993213    2719806    482798    162281738    215328997
81046    171717    26689    217608971    301452318
198386    624891    109569    256288240    345778847
