MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
654373    750459    285951    247258974    681138125
215286    130633    109137    272613195    802514276
1742986    1650471    868343    199425008    308638154
115515    155428    25590    303124257    782419355
451386    1228909    167822    297677135    404400717
699869    3240376    342010    168570305    282363698
117293    1433689    116261    167535028    372943511
2369056    7582982    1429256    234976430    690475062
6302752    19032179    3401747    751626140    1218267488
13142796    5102563    4627499    1371618132    976728839
766058    2512782    363696    201676387    452969646
1138740    2073869    287978    244099316    544785074
216875    1034426    587326    183317995    299800596
1269706    5357203    505386    256422779    573574802
693956    3508630    441143    267793015    486185381
847128    3126313    416147    317834826    968367037
590755    1073223    260403    264407160    756685290
1126597    4124516    664748    292117860    412470810
689579    3433355    421431    317028207    1107623691
3787675    96279    1807102    531225017    714188396
5172613    1094955    1913432    736860177    728358092
1199993    6309609    625390    195710339    380039692
424621    3712240    332163    283781191    877208569
1264761    5776703    529663    294747825    472018413
1017711    858300    2918155    235123027    961911289
1996669    824435    856384    319921817    572039106
644361    1080333    409317    234335040    626979034
843287    4803134    479432    316488407    775553316
328329    1868018    189001    232824324    389085778
5855734    2995566    2149318    1026653314    1164317351
1724540    7047267    770423    240040272    397160001
1217199    1167141    679247    150359352    247837438
1637788    4630122    835552    261838137    525461782
1339190    1165148    728022    290572179    714683357
44624    4532053    1873650    160439097    603221074
481991    1483280    195355    273658379    705447973
20540698    5407021    3304334    2694150310    962931190
1279917    178997    704909    199759026    489466798
10667857    13023578    3989890    1248922978    1057339974
951054    2585967    291952    249150044    535089019
1182025    2733444    328807    196788427    834546454
660241    2672262    286237    283699731    467397063
1455810    3129719    1071955    210058848    271918743
3628207    6624070    2068909    438718610    305567348
737935    2438548    318607    243735379    329352429
1232028    6515284    626146    256993025    521725463
224373    737876    89540    180081814    611631984
654440    164793    251802    304019566    666864596
695224    3488026    325636    199097431    389647864
1270439    6204839    689517    171284928    301288194
5391293    4960575    1626058    671629661    592306550
1057828    5136650    590715    195008388    440617285
578793    4170792    334777    267126156    466648438
1910643    1764436    1089734    203701575    490425651
76233    202588    28112    249401963    502589605
653844    1836761    344963    243988649    716896218
350874    976977    142172    221217217    379262512
26468    42650    10645    245898242    748923845
1694838    7741464    741296    278801698    538575868
1362311    7735871    747599    234009508    548777737
110494    223912    32241    233101158    430300443
326578    1576483    154372    336051358    799025451
334368    1294198    134425    350745652    1017274431
65388    27769    400455    312262908    496883274
1923360    293786    974821    261678104    574336029
305538    3433527    232883    191408718    460522157
776187    4105818    447523    237734994    481671390
220047    1496695    2038064    223794867    939247121
789353    4948106    444419    286581690    534853335
4767043    10252790    826085    755622779    395915192
712949    2055869    313962    266414379    595815719
593081    7909022    1119556    244279356    415295947
2310878    99911    1193347    421817880    658925289
1369010    6533011    653569    161844773    264347265
20552    32628    25737    167014324    413065100
37877938    12575644    5198375    5026574604    1388242502
172366    788179    103549    189151261    280698152
1210071    4355637    595155    246589929    609367152
165582    736847    132129    246601503    624912972
227387    492348    66973    301395173    515559834
1829559    4891284    980901    286197295    635143677
1579085    9258961    781231    284618893    422572337
2040486    2424086    853032    315515768    534122249
911415    1365494    442639    240432140    422444696
2095244    4480461    512124    252667544    506718440
812450    3638974    460907    290210667    401632635
4497031    2883001    1568998    413858767    662689034
398895    2142329    265334    285049311    845195826
105380    164666    21948    426445451    930905960
5538307    783023    1938637    729300250    775151118
1291831    5846296    788658    255483928    735993742
1064333    2961560    1519918    199900417    557449569
428449    2194184    222685    174233855    278575521
7358724    214263    3441896    1211915767    1620824738
35218045    16347657    21957552    3043740658    3174871570
1995548    5850145    910877    305100600    490321581
3884397    1452012    132992    753993605    397117276
954410    221009    39787    208629188    677507590
424390    2300335    448288    217427416    552157792
1067119    4500629    414935    314995595    732508480
772268    2699145    399800    209183051    540463634
344073    1283963    204463    261656275    477191291
1903457    4735632    997101    214908716    397796196
5082404    11134023    1960696    556574229    832687036
208896    675782    75328    280237134    765845201
15431191    11654993    5779635    1756627152    977691628
871309    225917    369511    270381349    526611306
1142717    892999    620818    248536903    384410369
