MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
137228    441309    112536    12540542    6217799
167504    1396009    117392    20953554    13761821
135873    406123    89634    20305633    12823426
149443    1065330    113790    19603209    14244547
271266    1060003    135326    29620121    11538529
213281    1511310    143949    81645042    58991717
214717    1440037    140326    23046202    16024698
201510    2672568    215877    68231679    76279601
202658    4072916    188640    45064637    41873985
167256    4251964    183171    55938835    51819839
256322    2719411    148453    32462451    19410316
169773    744879    192397    21272359    11401574
194787    899827    135468    19271428    14281806
204285    638798    114874    14055658    8166365
132534    4014396    149157    72878384    46943595
237611    884489    154500    73858263    64341260
154000    845886    142612    15845984    12512618
109261    534289    93691    15062317    9586205
97796    702482    102136    18133725    12300787
232385    7551970    221605    61555369    94017885
198410    3748952    213040    79658422    107244814
246781    1756348    148638    22141475    9715124
191818    721195    134000    19654954    13877794
142964    896726    100798    12897316    7886042
236184    2917652    227621    123827460    113884980
125595    845563    128133    14921465    8138478
154640    931416    164239    20308611    9669673
188950    579386    145526    16772243    9566300
142763    519996    115437    21816110    11698896
177643    1456004    131566    19525867    13028195
174446    945452    136249    60488282    36305193
141558    759103    101593    12475476    8171714
199452    5297329    207327    57504535    47157705
144552    2047055    209058    44075889    22071506
263090    5517529    276686    42609609    39864071
237135    2098999    227051    32909580    23617230
137172    829827    99528    13113354    10246430
148803    1245460    126170    22610452    18226160
153554    1677256    179197    37118910    28671093
161866    1770610    153688    21040174    12730231
251034    1991319    142988    64339894    45321161
206452    703062    130724    15132405    7455207
205257    719102    131689    17088080    8303725
240436    9573242    245985    113368121    104192927
195457    875993    141339    29310581    14700016
225000    3833664    179089    40705963    26866042
223417    775391    150643    34126864    26961566
137047    589629    135090    11713711    18491015
254960    3169766    181927    72925522    44264340
216746    1227557    168704    24953971    12125623
171375    2665671    133517    21473866    15288539
178382    3044784    149094    32807659    22363548
189592    2153918    172399    52645345    47975639
182734    3363022    321535    118195698    88349036
141338    1196094    124680    24761196    22482187
146909    450185    80657    12318524    4393127
145407    960605    94938    17049468    9464822
156085    844233    170209    24390173    16672646
265611    3726309    261618    57728412    41933383
208646    2778059    108027    25104629    21835673
143751    479976    86798    17955167    11848425
214423    1204904    142560    24261608    19019969
85786    739057    107999    16251381    9249344
117246    893522    120400    17353235    11622149
202090    2869593    182473    64339811    52967434
130322    792757    160459    16708867    12581071
163443    1042991    111037    18382291    9039129
232372    2215840    242667    110812918    85863731
137546    1595473    104490    46911997    44031106
127250    1309592    154299    37218268    26703668
182779    1433651    127423    25380686    15366423
160402    754605    147254    18017570    12749419
281983    4625370    251075    72820568    76142653
126739    631825    107527    18168336    14015494
254223    1786368    172627    40775339    32747371
242080    3713657    229572    35151723    31550114
213830    1581472    170005    23301775    12507246
135032    4161016    167811    78381918    79086520
248813    3926566    195921    98130868    81153724
186418    681911    107816    26377447    12573459
94626    386936    69615    11254782    6672856
124048    800234    108348    46420767    22342711
113601    306318    90542    7254150    3838141
199078    2015410    130216    28419458    27057669
171308    1661621    144797    22343122    16219607
151024    1178259    136739    25176489    19737311
233001    3997504    201616    42675956    21819848
122659    1291210    118150    27909492    16112564
143620    1109954    199971    41495918    45756252
199248    1439600    132336    36202753    19680292
222771    3004406    186140    54767501    32405009
178373    1577585    175517    25483168    14599934
233366    1866372    152227    26221218    16239950
215321    2140524    142032    29286781    17170235
233930    2416087    181155    27896347    15682537
179979    1048573    141471    30490320    32797969
111056    577564    98374    13340889    9080960
191921    1465178    119069    19716139    11128053
226169    3835732    184680    57859172    47753525
248147    1318742    217277    35209746    29502669
160525    736526    110690    20895804    18028118
174940    872985    109906    16496056    13509320
93034    327222    79808    9750085    3386367
267555    943404    126337    17226690    9407910
229718    3471133    190905    43839880    34335386
181964    1110038    147842    24364662    11915773
306065    2468574    170823    29227648    10090717
209336    2121739    161645    39049753    19619384
217203    7243066    195916    56875860    38486022
148858    982090    183761    18781810    19269596
139358    845362    123088    17012318    11112419
177352    591591    111758    25446461    20520169
217641    2296213    158227    62074653    37038424
225898    1239861    125856    22267293    11696462
145976    702818    162638    14479040    9323155
167061    702017    125057    21609715    11920774
242139    1850443    185050    30417535    28583635
182737    577835    123026    14779981    11626516
215144    4940430    142518    52871793    39986171
266263    2202819    121786    23573622    9611051
237598    2418634    177180    28157473    16312686
307970    1957337    173552    73260279    62529087
239730    2601510    175100    49878084    41521951
200358    1087751    154784    30822695    24668875
203212    1065490    154306    15542585    11651714
322389    2441038    175358    23695612    15992371
273083    1901270    133452    26438887    12669345
218866    2275781    140195    36034455    20626663
207244    1843172    182659    62181329    44001755
206116    3276476    148378    44169419    37065752
188822    1329178    156373    30452368    20730510
171384    2190265    304477    37105511    60115751
171293    1758950    138237    34130040    19418115
249664    2492586    175830    32926816    25836239
222718    797973    135956    17044256    11423863
269722    2389673    213330    94759326    55552171
241497    4173885    195095    71732285    56960454
200709    1275868    239510    18929776    17747553
147233    470255    108321    14373011    8867969
99684    980171    104776    23715634    12672469
138929    639814    136167    12549987    10375875
199945    2596119    172640    68679732    49095599
161266    1068737    157940    26514243    30172589
248114    1368627    156573    32819101    16174879
168989    2904792    147798    28111735    20253472
204989    776811    134044    15444205    8214075
280360    4434933    187423    55436037    36786345
150468    611040    138902    21029804    13922755
215775    3173174    192287    32132882    27659125
159346    923753    111880    16190261    7575896
215078    1958866    158606    30286827    14701785
235899    1274331    139924    21208595    10050830
160493    2680886    148090    31979171    18180251
121076    451698    108439    13942250    4303676
243422    1682271    207489    33929553    25642779
157728    1163329    137027    25537961    17772341
130047    902537    105945    14387686    7701056
262643    2170117    156339    42589849    23189699
154654    1267718    120819    17842081    8140266
140432    1858192    148338    26228171    21019774
275660    2875993    161228    31283630    18805866
194735    696289    138296    15424724    4492210
136793    4023877    147694    77063820    51441079
283595    2795751    224480    56623150    37191246
160366    786919    170652    25501400    20091899
264751    1832404    189166    51410758    26104417
207280    900132    127977    15885915    6375556
240605    843172    134146    18198466    8049871
225337    4846780    138672    72067153    41219536
194341    2059681    153607    21714003    16591376
252502    2425753    192886    43850459    44074337
147034    1422042    97120    21091288    8881696
153991    400953    91311    13511424    6594044
87234    1059417    134888    22256308    23635798
113633    2782671    79205    20271962    13424299
154761    1895326    128574    23853816    16068024
116842    3052316    168028    38268335    40187459
181321    2687921    167353    45317329    22830561
176955    660461    118158    19543582    8172499
179232    2704988    185731    41867450    40157355
252252    1423523    209933    25873637    11948220
175309    1264818    143663    24590569    13890060
160395    3072933    149615    36553319    28311123
133795    596824    99850    13047672    7899543
151364    735126    152256    16090077    8795480
160452    4483869    181681    91361377    81917515
314254    5887041    202104    109886337    83304555
147965    1688422    172547    22006874    19245279
165438    555873    108978    14315839    7919439
196623    812722    97318    15296455    5492508
210733    1210407    183992    28824516    34410082
279405    1157140    154449    31354539    22214454
144601    1458994    121731    19798294    12809821
204300    2081229    181267    26822446    18655443
197194    2215484    189285    58321024    30822624
186820    584055    156576    15511901    7051602
115439    592762    74176    9696584    4554729
172091    3357679    153807    59333663    39328705
212096    2206871    153183    25263918    19446718
142392    4416915    121004    55712364    24791055
94314    337795    80152    10549440    4980312
235980    1305385    122425    35176905    22231257
244028    2114554    142285    30200294    17023029
182177    1656698    135173    28175632    24686313
236929    1408850    189016    28523041    16525442
191539    2697510    148126    41026572    26592347
173305    2417723    181761    33244567    30648839
118513    1890298    293124    58751826    151994620
266323    4155850    148950    51975263    33250804
270296    1760769    182831    26265290    13166933
200794    2217632    146775    25461051    18432116
217245    1909360    208773    43649892    37895400
250992    1470496    164840    26510344    21568601
185218    1900545    178014    43757131    34528948
216269    3968580    155310    53706413    44353395
251550    2747965    186818    33393208    36283443
104469    1102596    133444    54290553    42422122
208111    2405097    143794    40247493    28442445
270701    4512034    170112    59906868    47732303
162119    1310044    128008    32415110    20742838
190955    617400    117153    23827230    12631238
264088    3066287    168099    31558439    31391887
123877    544166    112846    20023533    6950429
213609    2912471    161006    41745108    23902923
236773    2899298    138591    35867222    18430929
103599    527320    96769    17188770    9577526
175711    2837546    180133    27214981    19645854
120218    609595    100284    16069970    7182897
202062    2615937    206544    45980687    31405339
171799    1675192    134947    20374470    10014705
235812    685584    125050    16904510    4256163
255802    9102182    243205    204450972    133677711
196699    5491659    158532    26817349    21053096
160876    1035051    117858    15102900    8764433
214180    1642429    131671    57473850    20781268
103799    1164989    106841    17401178    9320078
164834    1572278    164205    28675500    21623538
163798    4310377    183081    37528701    42193906
186765    1101625    133563    31156531    18316992
