MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
3670863    657117    3138169    0    0
2696940    25072904    2645842    0    0
2249067    12399638    2157092    0    0
425389    185740    274906    0    0
1059512    72303    637445    0    0
2587590    243225    2139208    0    0
218188    910051    123145    0    0
4017817    1351024    892167    0    0
2763622    15607300    2501747    0    0
4113880    1618266    3345114    0    0
124423    173477    38579    0    0
2540580    17158628    2295822    0    0
516853    941221    323448    0    0
73581    189573    41900    0    0
2233994    1315768    2037267    0    0
2229395    19187975    1890106    0    0
427178    133876    378123    0    0
3600093    26876655    2884980    0    0
201326    700806    110882    0    0
267497    798147    163257    0    0
3434536    987464    3104956    0    0
3808316    3137402    2405172    0    0
1879375    2037267    1791487    0    0
3826967    8375945    3131015    0    0
3808572    1949890    3110831    0    0
208990    737852    109093    0    0
1078418    2715591    718690    0    0
1610346    9843727    1118530    0    0
298156    1283831    157892    0    0
208223    513021    93509    0    0
213844    1302227    132088    0    0
3591661    18027289    2392908    0    0
15840    86866    30658    0    0
1595527    16906971    1715096    0    0
2778186    18408478    2324437    0    0
196982    706937    101430    0    0
8431    38323    7154    0    0
2818041    12424420    1883719    0    0
2049275    567185    435864    0    0
2520653    12418033    1923319    0    0
10986    30915    9198    0    0
2690808    821652    2187750    0    0
2542113    1296862    2226584    0    0
2892388    2867351    2109060    0    0
3204341    118035    727121    0    0
3748276    9787520    3196165    0    0
164535    692886    112671    0    0
4036723    145373    3310368    0    0
1696190    10094873    1369420    0    0
441229    2616972    370969    0    0
1487200    739384    1580709    0    0
1709731    8280647    1132326    0    0
2494592    841580    516854    0    0
80734    193916    33214    0    0
2027048    13061354    2130777    0    0
743984    132854    166068    0    0
204647    197492    140264    0    0
2153259    12271637    1883974    0    0
406227    282571    273628    0    0
3612356    31212044    2560253    0    0
1992812    2633068    1619544    0    0
2590656    15444553    2465211    0    0
142307    412614    79712    0    0
2542114    433565    2089643    0    0
1945547    8167210    1595272    0    0
2969291    18918434    1964454    0    0
2081212    279504    1915399    0    0
358706    108583    305820    0    0
4900786    50904098    3481035    0    0
3454208    1359967    807345    0    0
11242    27593    7920    0    0
2599854    15053399    2260054    0    0
3358656    645109    2621059    0    0
2764389    18755176    2425866    0    0
3596005    1550816    3012213    0    0
2017850    1185213    2425866    0    0
3113131    785372    2201292    0    0
2705371    2479263    1608813    0    0
1348981    2081722    981588    0    0
530395    1797619    298922    0    0
3048748    653540    2806544    0    0
1765172    7894604    1248063    0    0
1227368    965237    576383    0    0
3027286    552878    2964948    0    0
251146    842091    164024    0    0
220486    443785    86099    0    0
2652229    13548060    1963687    0    0
121357    573061    85844    0    0
237349    864063    189573    0    0
3994823    1375552    3515014    0    0
287936    95042    205669    0    0
2720189    188551    2041611    0    0
2479263    7862412    1770026    0    0
2354074    1030642    1903391    0    0
2604453    4142240    2281004    0    0
1882441    9451042    1360733    0    0
3622320    1548773    2515798    0    0
3292740    13882750    2838225    0    0
5159085    346187    2790704    0    0
140519    257533    50076    0    0
1629252    7786787    1639727    0    0
3301171    20190002    2817019    0    0
2791982    14243244    2479008    0    0
3994567    23613552    3590384    0    0
2003032    19706873    1579176    0    0
2887278    53908    1964964    0    0
2189283    849501    2114936    0    0
223042    702083    175521    0    0
2309363    1980549    1866346    0    0
3580420    17213557    2081467    0    0
1840286    8925246    1454242    0    0
507912    461157    263920    0    0
494116    364327    74091    0    0
1153276    408782    236583    0    0
286914    1328286    204902    0    0
2517587    12459678    1924597    0    0
1635384    2885491    634123    0    0
2711758    14158678    1768238    0    0
261620    467800    197493    0    0
2689275    63872    2323671    0    0
2824940    1567424    2512987    0    0
115992    476742    104751    0    0
2361228    14323468    1771049    0    0
2670625    579449    1705899    0    0
3743677    484406    2321883    0    0
2638177    898810    2184940    0    0
2416668    11328118    1569723    0    0
2357395    8535880    1738601    0    0
3044915    5794230    4266407    0    0
456559    242714    321149    0    0
2027560    8956415    1422817    0    0
3852771    8304408    3753386    0    0
3955222    846945    3403622    0    0
1830322    12702648    1714841    0    0
3440667    1606002    652007    0    0
4899253    218187    415936    0    0
3926352    21584204    2268741    0    0
3137146    14402159    2274105    0    0
3979749    5124594    3197187    0    0
241437    611129    131321    0    0
928701    271840    538826    0    0
1895472    20999646    2050042    0    0
2847422    19388789    2476709    0    0
3858137    12288756    1624397    0    0
106284    241948    56463    0    0
3531877    241437    2506856    0    0
2263886    4625369    2051320    0    0
2645076    930490    2911294    0    0
2023472    13013832    1753419    0    0
1932517    7242596    1876310    0    0
318595    842091    232494    0    0
1624142    1228135    2120046    0    0
3453953    3033418    2572516    0    0
1034985    718946    831616    0    0
3191310    23480698    2763878    0    0
3911534    38917075    2543391    0    0
3055135    10900429    1342083    0    0
2524996    137453    320383    0    0
2415902    10989084    1761340    0    0
2649930    15011244    2003798    0    0
595800    98107    353596    0    0
286403    926658    202347    0    0
2533172    1524246    577149    0    0
1587607    11530721    1495121    0    0
2953961    17193629    1854849    0    0
289725    1302226    212312    0    0
2607263    60551    2207168    0    0
2492038    332135    2193627    0    0
3911788    1557460    2286114    0    0
1813204    9142411    1715097    0    0
223808    376080    79457    0    0
2153259    3001737    1713308    0    0
1112143    213078    626714    0    0
2691063    14258063    2284070    0    0
1870434    11072374    1429204    0    0
3169849    2332613    2495359    0    0
2840014    14553408    1909268    0    0
386554    1280254    219210    0    0
2717379    1662721    2916916    0    0
3300404    2836436    2440429    0    0
876837    793548    153805    0    0
438163    718946    331113    0    0
190850    980055    146906    0    0
2167056    10548877    3063822    0    0
63616    74092    12263    0    0
176798    388343    75880    0    0
2538792    9953843    1437125    0    0
3113898    20897451    2383455    0    0
2130265    7267889    1426139    0    0
2964181    864319    560797    0    0
177565    101684    134387    0    0
1719439    169389    990531    0    0
2123368    9280885    2142785    0    0
572551    882714    411592    0    0
1008670    2040589    733508    0    0
554411    123657    356918    0    0
270818    1167329    161724    0    0
2351519    12888898    2441962    0    0
379401    2009419    266985    0    0
180119    750116    109093    0    0
2711247    639233    574339    0    0
427432    2769754    385021    0    0
2051830    21032860    1956534    0    0
3114408    19928    3317266    0    0
195960    1348981    118547    0    0
2145594    16618525    1861491    0    0
134131    328814    76135    0    0
2077124    531672    1573555    0    0
2622082    975968    2094753    0    0
2210234    9339392    1851017    0    0
2447583    17986667    2257755    0    0
2015551    1108566    1820869    0    0
1433803    1117509    445572    0    0
1451687    6054573    1234266    0    0
3526001    23227253    2689530    0    0
4132276    733763    4039278    0    0
51353    86100    14307    0    0
3295806    3727837    882203    0    0
301732    828550    174754    0    0
2957282    1458586    2669858    0    0
103984    38835    43177    0    0
2594999    1798897    2288924    0    0
2339766    1065133    2771031    0    0
586092    101174    393964    0    0
2703582    30593506    2755447    0    0
539848    1991024    394219    0    0
288703    140007    186507    0    0
1922042    1179336    438674    0    0
3167805    2745482    3199486    0    0
3312923    81757    297133    0    0
3447565    1935583    2450394    0    0
410060    189573    294067    0    0
2459080    16829046    1884996    0    0
3027287    13839828    2247279    0    0
2540836    549301    2758513    0    0
1947591    109860    1592462    0    0
2577115    15421815    2109060    0    0
3074297    3547973    2896477    0    0
2845378    12534791    2256477    0    0
3722983    869940    2892900    0    0
1949891    7709630    1190578    0    0
2365315    15296880    1455775    0    0
385277    72048    215632    0    0
1548518    16716121    1855104    0    0
257277    987465    198770    0    0
4376523    1292006    178842    0    0
3100101    14781304    2319583    0    0
1011225    866107    852821    0    0
2438385    11028173    2121068    0    0
257788    1332118    207202    0    0
34491    298411    32703    0    0
3035973    10971711    1457819    0    0
3623853    1451176    2826728    0    0
498970    627736    134132    0    0
136942    404695    84822    0    0
145373    832382    105773    0    0
867896    1317301    577404    0    0
2782273    1444278    2262353    0    0
3718384    1944525    1029875    0    0
2061539    1277955    2264652    0    0
59274    201325    41900    0    0
2954728    22508562    2920237    0    0
2883447    387321    618027    0    0
3036229    18904893    2053108    0    0
261621    1067432    217932    0    0
397029    649453    274395    0    0
2273850    560287    2661171    0    0
3493298    1862514    2447582    0    0
4013218    6457735    2363016    0    0
153293    524263    83034    0    0
4451637    7067331    3494065    0    0
1717141    14254486    1707176    0    0
230195    655329    109604    0    0
2129243    11780078    1977739    0    0
3316245    2105227    3461618    0    0
1202585    11337315    1394458    0    0
1713819    660694    758546    0    0
290746    269797    131065    0    0
2523719    809644    1894194    0    0
2235782    646387    1860214    0    0
259321    619049    131321    0    0
2462912    3250073    2133076    0    0
1625420    52375    1993580    0    0
3587063    68726    2839758    0    0
1886785    5847372    1261348    0    0
3785322    789460    3073275    0    0
252423    519154    177820    0    0
2799646    24729016    2939654    0    0
3546695    13633649    2299654    0    0
4337689    3180580    3779701    0    0
3678783    2031391    3580164    0    0
2613906    8144727    2838480    0    0
3821346    20844564    3076085    0    0
