MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
492583    246802    192638    0    0
1980805    3846384    923592    0    0
568207    2568940    289468    0    0
1076630    5504762    563353    0    0
70770    143840    17373    0    0
138475    327793    39090    0    0
820374    2641754    427688    0    0
1043161    797892    562586    0    0
79456    101940    371226    0    0
83034    49821    646642    0    0
555177    369437    249868    0    0
1198754    5879819    627736    0    0
714602    3772292    298666    0    0
519154    2527295    331113    0    0
1128239    4142240    358962    0    0
404950    1897259    216399    0    0
1545708    795592    963959    0    0
561309    1843607    359984    0    0
819097    1363799    300455    0    0
842602    3598560    369947    0    0
1424094    1197732    4548467    0    0
510467    2455503    215888    0    0
16096    41900    7153    0    0
125956    45988    226874    0    0
1305037    6389774    782562    0    0
259321    159170    592223    0    0
102451    201326    30147    0    0
6368824    15438932    1329053    0    0
1223791    1801196    22917856    0    0
853588    5027253    426922    0    0
1958833    2847167    840047    0    0
334434    1241165    133109    0    0
29126    58251    778986    0    0
448638    142052    196982    0    0
804534    3928396    377613    0    0
68982    192383    22739    0    0
1649947    2198481    798147    0    0
463968    2713035    276950    0    0
1295073    712559    595799    0    0
937899    211800    438418    0    0
3381139    2034457    1624142    0    0
174754    324726    62850    0    0
44966    68471    10986    0    0
2368892    8461278    819353    0    0
202603    979288    119058    0    0
1303504    9019265    741684    0    0
904942    4513720    394986    0    0
2226330    6881846    1840797    0    0
1357667    2795303    827528    0    0
873772    1611879    339800    0    0
399840    1014291    205157    0    0
1144079    7511371    557988    0    0
613940    215888    365604    0    0
848734    516598    460646    0    0
83544    213078    24782    0    0
1011991    2619782    598099    0    0
87122    132344    21461    0    0
5576810    1752142    2914105    0    0
22627109    611896    2710736    0    0
1883974    205158    2296333    0    0
520176    2518097    226108    0    0
802235    2837458    488239    0    0
1219703    2144573    712302    0    0
1288174    293556    517365    0    0
107560    348232    52119    0    0
1238098    188295    699784    0    0
475976    1880653    272606    0    0
362794    2013763    183951    0    0
986187    2272828    548535    0    0
3655534    5211461    1606514    0    0
53142    89166    13285    0    0
87632    245270    29892    0    0
686243    1179336    398818    0    0
108838    214866    27593    0    0
1668852    157892    389876    0    0
54163    90443    15074    0    0
39089    133877    20950    0    0
1968541    4100850    868407    0    0
22994    53652    156104    0    0
400606    2123623    164024    0    0
120079    212312    39600    0    0
227896    1693380    247569    0    0
1884741    2661171    1019400    0    0
707449    2281515    367137    0    0
190595    1075863    110371    0    0
148184    486962    72047    0    0
1348470    4323637    536781    0    0
1486945    3089115    763656    0    0
520175    1746266    521963    0    0
524775    3593705    287681    0    0
188040    968303    104495    0    0
1081995    4734974    492071    0    0
784095    1454497    774131    0    0
16971354    3708931    11735367    0    0
996406    3832842    447361    0    0
347976    1571001    363561    0    0
1412342    889612    728655    0    0
1377851    3750320    539848    0    0
205924    887568    108072    0    0
490538    2311918    304287    0    0
502802    1564869    282059    0    0
491560    193660    280015    0    0
818331    4283525    480830    0    0
1361244    2639199    720478    0    0
37813    90188    15840    0    0
616750    2457036    216143    0    0
517876    2787638    1108566    0    0
266986    1071520    214866    0    0
18125653    112626869    10073923    0    0
499225    2098074    213844    0    0
30070520    129789    1347193    0    0
355385    1943504    769021    0    0
802746    3250329    707959    0    0
1085571    1765939    530139    0    0
11993411    4618726    11230521    0    0
915417    3812915    313229    0    0
33469    71025    9198    0    0
644599    2721977    319105    0    0
981588    1357412    501013    0    0
824206    3596772    421045    0    0
918737    5894382    441484    0    0
453238    2185195    334946    0    0
307864    916183    104751    0    0
1387815    3320588    731719    0    0
126211    305565    33725    0    0
106539    419768    69749    0    0
1699512    4705848    832383    0    0
1346170    6877758    629269    0    0
938155    4807277    447105    0    0
25294    105006    16862    0    0
1014801    1686737    552367    0    0
754714    475465    380934    0    0
195705    1242697    118547    0    0
615217    3443989    293557    0    0
755992    3356101    312463    0    0
261876    1069221    125956    0    0
2131543    280527    38579    0    0
1126450    2732963    529117    0    0
1031408    5854271    496159    0    0
71537    179098    27337    0    0
194938    1343871    144862    0    0
588391    2830816    287936    0    0
218188    952718    565908    0    0
1043672    1277699    2647120    0    0
1219448    108838    1746266    0    0
595545    2596533    291257    0    0
7757662    302243    1614689    0    0
250123    2098585    124167    0    0
1709986    7181023    878115    0    0
378890    2875782    947352    0    0
696463    365604    269541    0    0
1479280    146650    623904    0    0
15572042    45973420    10088486    0    0
2109572    3387526    1118530    0    0
818075    3394935    729165    0    0
13525577    993341    1057979    0    0
1805029    9315632    964470    0    0
2030625    189062    1110865    0    0
366626    107561    18395    0    0
3636628    7761238    1939671    0    0
2085555    8134508    863807    0    0
5837919    8556575    2030114    0    0
1111376    543169    790993    0    0
331114    1421795    134388    0    0
1708965    1582497    162236    0    0
1205651    2652485    244759    0    0
287680    1345660    117269    0    0
242970    885014    95297    0    0
591201    2716101    245525    0    0
301988    1312191    145118    0    0
533716    4155526    426155    0    0
1006115    1478769    132855    0    0
2033435    1480557    884247    0    0
148183    122124    92232    0    0
747816    3980771    504846    0    0
1110355    5272267    15802748    0    0
132343    293301    38324    0    0
359983    1428183    143585    0    0
704638    2739606    725844    0    0
1134370    580982    1136669    0    0
238116    309397    123912    0    0
277972    1270291    210011    0    0
59018    103217    14307    0    0
65916    224575    26060    0    0
245525    961659    273884    0    0
1174482    799169    547002    0    0
782051    334435    365349    0    0
1369420    172199    848990    0    0
1328797    6245423    686754    0    0
2358672    4951373    1128239    0    0
2382944    9299537    903920    0    0
1283065    5383915    545213    0    0
387832    167856    200814    0    0
38834    78435    1276422    0    0
144351    388343    114714    0    0
292790    1796342    166834    0    0
905452    721756    522474    0    0
889101    68726    413636    0    0
25038    21461    443273    0    0
1224302    6589312    676790    0    0
342866    178586    176543    0    0
866107    1458585    196982    0    0
248335    1091449    150483    0    0
1426139    3641482    700550    0    0
479297    1902369    302243    0    0
220997    893956    153804    0    0
371736    264431    163512    0    0
736063    2247024    381445    0    0
1686482    2518353    1035240    0    0
652262    1891384    356918    0    0
353341    1888318    188806    0    0
94275    219720    28870    0    0
78690    135410    17884    0    0
710770    2778441    294579    0    0
331369    3715829    383744    0    0
39601    118547    15840    0    0
104495    656095    379657    0    0
351808    1771049    160447    0    0
326515    1674729    164790    0    0
1281788    3530600    568207    0    0
875304    4980499    820119    0    0
722267    3866057    440207    0    0
354363    1069220    212567    0    0
24536122    40974782    11635471    0    0
534994    2994329    356407    0    0
110371    250635    30147    0    0
72048    341078    41900    0    0
564885    2425611    472910    0    0
646643    606530    327026    0    0
225596    1018123    116247    0    0
76136    239393    28870    0    0
