MSRP-new    MrsP-new    PWLP-new    MSRP-ilp    PWLP-ilp
12482441    27351221    8638913    141245904    114714021
5029591    1967293    5816966    204494199    271658669
669494    1448620    385835    54501389    44536322
2527124    653991    2086787    174570186    156778280
2803078    492338    2777887    401796289    414294913
2324548    11354778    1627881    218996594    187591143
1946031    925258    1284587    181025837    171448755
1935685    12788743    1981304    190840871    272902937
1207251    3309929    1204593    133913926    156962031
118358    581147    93604    39430597    44632012
2025369    1574446    1751609    212533934    241861008
1423362    9227714    1317914    156524048    188380728
26039    43538    20708    54892730    64357043
1989555    8934257    1488081    173509175    164059706
185078    565212    124497    37399489    42657918
1963410    668657    1059195    187510039    143292910
386875    462105    211927    39856053    39602832
1926718    11806871    1352556    184881067    193249348
1403573    55775    1533568    203556527    265367075
166504    266671    84920    36239709    49269578
1374146    1522759    1430360    152073495    212528729
395386    80267    30895    61871500    30771077
2012718    14284663    1375960    184630151    181868336
1743151    57917    317021    290443340    124406890
184792    168065    110613    43726987    50051808
56005    109948    67283    35617352    42509757
353006    916112    333793    39280839    47367080
1895888    8251639    1494367    144666074    129642632
2071806    744832    1258378    181891915    165101861
253367    718273    129443    40090571    41631200
365200    1102965    251547    39886961    44225778
1465405    74116    1559053    181212417    239813905
1984959    780081    157058    252526434    45716653
1940256    9626870    1503486    190978841    161389638
49957    120269    41872    42333834    44485573
1902008    9692219    1293464    218028380    219302172
325859    959208    188336    35091037    41180262
1338535    5617607    1234414    159058631    167119065
1363413    1560000    1288816    186103124    256853871
103761    771048    109675    37807738    45492192
1432689    1265744    1119607    173687096    183530086
184387    615128    140755    32494102    36620568
1600922    884085    1366340    197770688    205167711
1407706    102218    24977    174444460    34660179
279613    1281747    167705    38999407    38960480
1592733    7556959    1374345    139841559    160935011
284205    1115607    179220    44636360    50180621
453835    392959    97144    63913805    32219098
143039    625075    120471    41578228    63152532
1147326    4458265    1004618    115235557    167934290
1721268    491917    1154267    212078291    179348410
230178    154170    86947    43910014    53769945
1388312    8971472    1064861    154245171    128252342
1520722    749152    1175255    162248963    159317678
227633    174649    102994    37715254    38258954
2194276    777644    1350895    347704885    279554966
1365082    4548371    928617    128398967    123681561
158188    683201    117070    43193084    55154481
126107    178379    80717    24487359    28885128
2038395    5014050    1649464    155235434    168616605
2344756    7455858    1435867    158578442    151566786
2105141    316536    1756204    170135163    190727543
1033481    5517906    1599794    106971671    183168625
1317533    4058759    818614    111950711    82793569
160041    496806    120713    26328506    28361683
537165    861341    360631    70234642    77389837
2047061    634201    1796150    222875470    293858072
1591278    8546708    1457734    180992149    191395085
288564    1572536    217783    45084838    57736217
1329903    207206    213728    218596025    72581907
63055    97908    35892    50386033    57826710
20077    39356    18257    42079997    54353078
376395    1931815    309800    40212671    47631703
366017    1367704    216955    37310297    41898185
2100433    6627037    924498    197568186    153604366
1933041    10410289    1402173    190378482    183804089
246815    773493    168916    35536757    43012063
581187    144561    31283    99275987    37636359
1866948    11046016    1419719    126862065    129988115
269246    116165    134476    35792956    42281633
1584210    4571815    1282656    123685267    123966882
390920    1255167    210931    41715983    43386661
1981562    5430738    1094488    143856325    107936466
2759207    417838    1480111    282397810    261019970
2322201    10972859    1457551    264061778    217211724
1400241    5756107    1151283    121672253    120084996
160018    649243    109348    31555017    37459678
1944237    925560    1739673    202432371    217825742
1868570    51991    1521398    225465554    271051683
1613076    9264048    1526257    173550973    231658358
1632681    7921213    1604009    145926753    179575657
1761180    82586    1457722    176988155    221912397
1348156    5241488    1113030    128421931    127059072
1826821    6838348    1376565    154776898    194946946
1334619    742272    1422385    172009855    258199596
